iter	MAE
0	4.258311562
1	4.187173206
2	4.111278467
3	4.030993062
4	3.948131163
5	3.868816918
6	3.781984762
7	3.723725797
8	3.653020637
9	3.583448873
10	3.514029677
11	3.448582049
12	3.378032488
13	3.323261344
14	3.273873303
15	3.222647043
16	3.154284358
17	3.09199158
18	3.027544977
19	2.972481036
20	2.924398576
21	2.868901933
22	2.814870888
23	2.766738423
24	2.712180474
25	2.664501895
26	2.616480136
27	2.574298141
28	2.525074115
29	2.489472033
30	2.45165979
31	2.414492188
32	2.3759226
33	2.34420309
34	2.30797777
35	2.272807182
36	2.238661766
37	2.203982656
38	2.16971572
39	2.13925931
40	2.114222543
41	2.088342916
42	2.061268453
43	2.033818863
44	2.010829931
45	1.99421939
46	1.967961644
47	1.942859119
48	1.921628582
49	1.905275494
50	1.88120197
51	1.862248382
52	1.843442778
53	1.818484217
54	1.805689114
55	1.781696443
56	1.766723384
57	1.749148654
58	1.723904059
59	1.703047872
60	1.691711364
61	1.675794529
62	1.660069323
63	1.653539976
64	1.635017877
65	1.614489664
66	1.597873321
67	1.586778432
68	1.576391161
69	1.567731344
70	1.553495379
71	1.531633196
72	1.515054719
73	1.507667051
74	1.499585852
75	1.48533324
76	1.467923941
77	1.456881034
78	1.447942074
79	1.434761583
80	1.423472436
81	1.415936742
82	1.403310718
83	1.391977906
84	1.387096366
85	1.375261075
86	1.367091623
87	1.360480626
88	1.351607541
89	1.347430978
90	1.333892961
91	1.322806252
92	1.315751696
93	1.306992808
94	1.300030254
95	1.291363067
96	1.281261851
97	1.272154594
98	1.267046548
99	1.261343206
100	1.255865723
101	1.252129062
102	1.247293412
103	1.234062267
104	1.229303973
105	1.224340172
106	1.216439568
107	1.212917233
108	1.204358575
109	1.199219184
110	1.194161262
111	1.18727222
112	1.184790825
113	1.176617299
114	1.168265104
115	1.158898759
116	1.154832489
117	1.151657282
118	1.146554826
119	1.137725429
120	1.135045882
121	1.129568097
122	1.126262761
123	1.121737388
124	1.118964443
125	1.115839526
126	1.106129048
127	1.102561306
128	1.096364309
129	1.085616694
130	1.081125298
131	1.074523692
132	1.069147012
133	1.063614903
134	1.057007599
135	1.0520412
136	1.050056842
137	1.042782729
138	1.037839924
139	1.034767127
140	1.031918715
141	1.026547176
142	1.020532127
143	1.017854944
144	1.012676761
145	1.005898855
146	1.003118249
147	0.9970373882
148	0.993970354
149	0.9862263175
150	0.9838835434
151	0.9785302684
152	0.9737303842
153	0.9684973756
154	0.9660758879
155	0.9646016586
156	0.9621436515
157	0.9563507851
158	0.9531172025
159	0.9486017898
160	0.9458984371
161	0.9420115746
162	0.9383235194
163	0.9376224243
164	0.9335541742
165	0.9298163121
166	0.921893574
167	0.918812363
168	0.9145877819
169	0.9118993369
170	0.9105222601
171	0.9071267148
172	0.9029565504
173	0.8980785211
174	0.8938799116
175	0.8904333341
176	0.8866260022
177	0.8822879654
178	0.8795069818
179	0.8754656772
180	0.8722058684
181	0.8684921935
182	0.8627388798
183	0.8587122275
184	0.8551549272
185	0.8505081404
186	0.8476358078
187	0.8411365096
188	0.8395602846
189	0.8373953136
190	0.8342416852
191	0.8293050854
192	0.8238565161
193	0.8222513384
194	0.820485954
195	0.8171616508
196	0.8132873682
197	0.8081985048
198	0.8039151043
199	0.8013164554
200	0.7973579703
201	0.7954285105
202	0.7935219401
203	0.790476349
204	0.7886119216
205	0.7865088019
206	0.7852298316
207	0.7814167436
208	0.7797287729
209	0.7776262023
210	0.7747364735
211	0.772202188
212	0.7682057325
213	0.7648364735
214	0.7615773022
215	0.757630635
216	0.7554879301
217	0.7527120032
218	0.7510083729
219	0.7473855159
220	0.7454567065
221	0.7431226975
222	0.7397515758
223	0.7377312736
224	0.7362933189
225	0.7347245236
226	0.7309781452
227	0.7276221885
228	0.7256357266
229	0.7232739681
230	0.7218515534
231	0.7168214599
232	0.7145392202
233	0.714154279
234	0.71105157
235	0.7102719112
236	0.7091259394
237	0.7070274203
238	0.7041181089
239	0.7024504467
240	0.7011347646
241	0.6989742302
242	0.6965760904
243	0.6957798393
244	0.6923849707
245	0.6914243285
246	0.6910404856
247	0.6899289521
248	0.6877751598
249	0.6857156673
250	0.6834979049
251	0.6814609948
252	0.6805552674
253	0.6795786037
254	0.6773835146
255	0.6764699537
256	0.6746168927
257	0.673420467
258	0.6720539308
259	0.6714073406
260	0.6696108278
261	0.6682423906
262	0.6677667717
263	0.665811203
264	0.6632202943
265	0.6625148807
266	0.6618105218
267	0.6607221077
268	0.6598648463
269	0.6570078418
270	0.6564644258
271	0.6544174984
272	0.6523343415
273	0.6477582752
274	0.6474251381
275	0.6470377749
276	0.6451426082
277	0.6433496475
278	0.641294546
279	0.6386657011
280	0.6378634314
281	0.6360684056
282	0.6352599309
283	0.6311916835
284	0.6290236036
285	0.6285537447
286	0.6279309812
287	0.6264887287
288	0.6259021592
289	0.624651293
