iter	Passed	Remaining
399	33521	8380
400	33557	8284
401	33613	8194
402	33679	8106
403	33747	8019
404	33805	7929
405	33858	7839
406	33926	7752
407	33980	7662
408	34037	7573
409	34098	7485
410	34155	7396
411	34216	7308
412	34268	7218
413	34323	7129
414	34390	7043
415	34440	6954
416	34512	6869
417	34569	6781
418	34624	6693
419	34682	6606
420	34739	6518
421	34793	6430
422	34849	6343
423	34905	6256
424	34951	6167
425	35027	6084
426	35115	6003
427	35197	5921
428	35241	5832
429	35312	5748
430	35393	5666
431	35461	5581
432	35527	5497
433	35603	5414
434	35662	5328
435	35723	5243
436	35792	5159
437	35859	5075
438	35933	4992
439	35965	4904
440	36017	4818
441	36082	4734
442	36146	4650
443	36190	4564
444	36254	4480
445	36327	4398
446	36413	4317
447	36452	4231
448	36490	4144
449	36558	4062
450	36623	3979
451	36697	3897
452	36767	3814
453	36839	3732
454	36904	3649
455	36961	3566
456	37036	3484
457	37117	3403
458	37184	3321
459	37249	3239
460	37330	3158
461	37417	3077
462	37475	2994
463	37544	2912
464	37633	2832
465	37709	2751
466	37770	2668
467	37856	2588
468	37925	2506
469	37989	2424
470	38076	2344
471	38145	2262
472	38196	2180
473	38265	2098
474	38323	2017
475	38408	1936
476	38473	1855
477	38556	1774
478	38597	1692
479	38676	1611
480	38744	1530
481	38827	1449
482	38910	1369
483	38994	1289
484	39062	1208
485	39124	1127
486	39218	1046
487	39295	966
488	39356	885
489	39418	804
490	39503	724
491	39558	643
492	39624	562
493	39723	482
494	39802	402
495	39875	321
496	39941	241
497	40008	160
498	40073	80
499	40116	0
